Timestamp,Gender,MDE,Mom_Hours,Dad_Hours
10/31/2023 7:53:53,Female,Dad,13,5
10/31/2023 7:55:10,Male,Dad,17,13
10/31/2023 7:55:59,Male,Dad,19,15
10/31/2023 7:56:45,Female,Dad,15,11
10/31/2023 7:59:20,Male,Equal,16,14
10/31/2023 8:00:24,Male,Equal,14,14
10/31/2023 8:01:58,Female,Dad,17,5
10/31/2023 9:17:35,Female,Equal,19,5
10/31/2023 9:41:19,Female,Equal,16,8
10/31/2023 10:30:14,Male,Equal,2,1
10/31/2023 10:33:18,Male,Mom,12,7
10/31/2023 10:33:46,Female,Equal,16,16
10/31/2023 10:34:05,Male,Equal,12,10
10/31/2023 10:34:31,Female,Equal,8,8
10/31/2023 10:35:01,Male,Equal,7,7
10/31/2023 10:49:46,Male,Equal,9,4
10/31/2023 10:50:05,Male,Mom,19,11
10/31/2023 10:51:08,Female,Dad,12,14
10/31/2023 10:51:35,Male,Dad,10,3
10/31/2023 10:51:55,Male,Equal,15,11
10/31/2023 10:52:28,Male,Dad,7,3
10/31/2023 10:52:55,Female,Mom,6,7
10/31/2023 10:53:20,Female,Equal,11,4
10/31/2023 10:53:33,Female,Equal,24,11
10/31/2023 10:57:04,Male,Mom,13,4
10/31/2023 10:57:35,Female,Dad,16,7
10/31/2023 10:58:02,Male,Equal,15,8
10/31/2023 10:58:42,Female,Equal,14,6
10/31/2023 11:00:20,Female,Equal,14,9
10/31/2023 11:01:10,Male,Mom,12,8
10/31/2023 11:02:01,Female,Mom,14,10
10/31/2023 11:02:20,Female,Dad,8,6
10/31/2023 11:02:42,Female,Equal,13,9
10/31/2023 11:03:13,Female,Equal,15,11
10/31/2023 11:03:32,Female,Mom,14,11
10/31/2023 11:03:45,Female,Equal,10,6
10/31/2023 11:05:12,Male,Mom,6,4
10/31/2023 11:05:52,Female,Dad,17,4
10/31/2023 11:06:09,Female,Equal,10,7
10/31/2023 11:06:37,Male,Mom,14,9
10/31/2023 11:06:51,Male,Equal,12,12
10/31/2023 11:07:17,Female,Equal,16,11
10/31/2023 11:08:33,Female,Equal,13,10
10/31/2023 11:09:30,Female,Mom,8,5
10/31/2023 11:09:48,Female,Equal,11,7
10/31/2023 11:11:12,Male,Equal,13,8
10/31/2023 11:11:59,Male,Equal,11,6
10/31/2023 11:13:23,Female,Equal,13,13
10/31/2023 11:14:02,Male,Equal,10,10
10/31/2023 11:14:38,Male,Mom,14,9
10/31/2023 11:15:27,Female,Equal,15,8
10/31/2023 11:17:18,Female,Equal,7,5
